"position";"roster.name";"sort_order";"cost";"edition"
"Thrall Lineman";"Vampire";1;40;"bb2020"
"Thrall Lineman";"Vampire";1;40;"bb2025"
"Vampire Runner";"Vampire";2;100;"bb2020"
"Vampire Runner";"Vampire";2;100;"bb2025"
"Vampire Thrower";"Vampire";3;110;"bb2020"
"Vampire Thrower";"Vampire";3;110;"bb2025"
"Vampire Blitzer";"Vampire";4;110;"bb2020"
"Vampire Blitzer";"Vampire";4;110;"bb2025"
"Vargheist";"Vampire";5;150;"bb2020"
"Vargheist";"Vampire";5;150;"bb2025"
"rerolls";"Vampire";10;70;"bb2020"
"rerolls";"Vampire";10;70;"bb2025"
"apothecary";"Vampire";11;50;"bb2020"
"apothecary";"Vampire";11;50;"bb2025"
"1 bloodweiser keg";"Vampire";12;50;"bb2020"
"1 bloodweiser keg";"Vampire";12;50;"bb2025"
"1 bribe";"Vampire";13;100;"bb2020"
"1 bribe";"Vampire";13;100;"bb2025"
"assistantCoaches";"Vampire";14;10;"bb2020"
"assistantCoaches";"Vampire";14;10;"bb2025"
"cheerleaders";"Vampire";15;10;"bb2020"
"cheerleaders";"Vampire";15;10;"bb2025"
"Star player Wilhelm Chaney";"Vampire";20;220;"bb2020"
"Star player Wilhelm Chaney";"Vampire";20;220;"bb2025"
"Wood Elf Lineman";"Wood Elf";1;70;"bb2020"
"Wood Elf Lineman";"Wood Elf";1;70;"bb2025"
"Catcher";"Wood Elf";2;90;"bb2020"
"Thrower";"Wood Elf";2;95;"bb2020"
"Wood Elf Catcher";"Wood Elf";2;90;"bb2025"
"Wood Elf Thrower";"Wood Elf";2;95;"bb2025"
"Wardancer";"Wood Elf";4;125;"bb2020"
"Wardancer";"Wood Elf";4;125;"bb2025"
"Loren Forest Treeman";"Wood Elf";5;120;"bb2020"
"Loren Forest Treeman";"Wood Elf";5;120;"bb2025"
"rerolls";"Wood Elf";6;50;"bb2020"
"rerolls";"Wood Elf";6;50;"bb2025"
"apothecary";"Wood Elf";7;50;"bb2020"
"apothecary";"Wood Elf";7;50;"bb2025"
"1 bloodweiser keg";"Wood Elf";8;50;"bb2020"
"1 bribe";"Wood Elf";8;100;"bb2020"
"BlitzerBestKeg";"Wood Elf";8;50;"bb2025"
"1 bribe";"Wood Elf";8;100;"bb2025"
"assistantCoaches";"Wood Elf";9;10;"bb2020"
"assistantCoaches";"Wood Elf";9;10;"bb2025"
"DodgyLeagueRep";"Wood Elf";12;120;"bb2025"
"cheerleaders";"Wood Elf";20;10;"bb2020"
"cheerleaders";"Wood Elf";20;10;"bb2025"
"dedicated_fans";"Wood Elf";21;5;"bb2025"
"1 part-time assistant coach";;18;20;"bb2020"
"1 part-time assistant coach";;18;20;"bb2025"
"1 halfling master chef";;21;300;"bb2020"
"1 halfling master chef";;21;300;"bb2025"
